Date,Open,High,Low,Close
22-Jan-13,1485.98,1492.56,1481.16,1492.56
23-Jan-13,1492.56,1496.13,1489.9,1494.81
24-Jan-13,1494.81,1502.27,1489.46,1494.82
25-Jan-13,1494.82,1503.26,1494.82,1502.96
28-Jan-13,1502.96,1503.23,1496.33,1500.18
29-Jan-13,1500.18,1509.35,1498.09,1507.84
30-Jan-13,1507.84,1509.94,1500.11,1501.96
31-Jan-13,1501.96,1504.19,1496.76,1498.11
01-Feb-13,1498.11,1514.41,1498.11,1513.17
04-Feb-13,1513.17,1513.17,1495.02,1495.71
05-Feb-13,1495.71,1514.96,1495.71,1511.29
06-Feb-13,1511.29,1512.53,1504.71,1512.12
07-Feb-13,1512.12,1512.9,1498.49,1509.39
08-Feb-13,1509.39,1518.31,1509.39,1517.93
11-Feb-13,1517.93,1518.31,1513.61,1517.01
12-Feb-13,1517.01,1522.29,1515.61,1519.43
13-Feb-13,1519.43,1524.69,1515.93,1520.33
14-Feb-13,1520.33,1523.14,1514.02,1521.38
15-Feb-13,1521.38,1524.24,1514.14,1519.79
19-Feb-13,1519.79,1530.94,1519.79,1530.94
20-Feb-13,1530.94,1530.94,1511.41,1511.95
21-Feb-13,1511.95,1511.95,1497.29,1502.42
22-Feb-13,1502.42,1515.64,1502.42,1515.6
25-Feb-13,1515.6,1525.84,1487.85,1487.85
26-Feb-13,1487.85,1498.99,1485.01,1496.94
27-Feb-13,1496.94,1520.08,1494.88,1515.99
28-Feb-13,1515.99,1525.34,1514.46,1514.68
01-Mar-13,1514.68,1519.99,1501.48,1518.2
04-Mar-13,1518.2,1525.27,1512.29,1525.2
05-Mar-13,1525.2,1543.47,1525.2,1539.79
06-Mar-13,1539.79,1545.25,1538.11,1541.46
07-Mar-13,1541.46,1545.78,1541.46,1544.26
08-Mar-13,1544.26,1552.48,1542.94,1551.18
11-Mar-13,1551.15,1556.27,1547.36,1556.22
12-Mar-13,1556.22,1556.77,1548.24,1552.48
13-Mar-13,1552.48,1556.39,1548.25,1554.52
14-Mar-13,1554.52,1563.32,1554.52,1563.23
15-Mar-13,1563.21,1563.62,1555.74,1560.7
18-Mar-13,1560.7,1560.7,1545.13,1552.1
19-Mar-13,1552.1,1557.25,1538.57,1548.34
20-Mar-13,1548.34,1561.56,1548.34,1558.71
21-Mar-13,1558.71,1558.71,1543.55,1545.8
22-Mar-13,1545.9,1557.74,1545.9,1556.89
25-Mar-13,1556.89,1564.91,1546.22,1551.69
26-Mar-13,1551.69,1563.95,1551.69,1563.77
27-Mar-13,1563.75,1564.07,1551.9,1562.85
28-Mar-13,1562.86,1570.28,1561.08,1569.19
01-Apr-13,1569.18,1570.57,1558.47,1562.17
02-Apr-13,1562.17,1573.66,1562.17,1570.25
03-Apr-13,1570.25,1571.47,1549.8,1553.69
04-Apr-13,1553.69,1562.6,1552.52,1559.98
05-Apr-13,1559.98,1559.98,1539.5,1553.28
08-Apr-13,1553.26,1563.07,1548.63,1563.07
09-Apr-13,1563.11,1573.89,1560.92,1568.61
10-Apr-13,1568.61,1589.07,1568.61,1587.73
11-Apr-13,1587.73,1597.35,1586.17,1593.37
12-Apr-13,1593.3,1593.3,1579.97,1588.85
15-Apr-13,1588.84,1588.84,1552.28,1552.36
16-Apr-13,1552.36,1575.35,1552.36,1574.57
17-Apr-13,1574.57,1574.57,1543.69,1552.01
18-Apr-13,1552.03,1554.38,1536.03,1541.61
19-Apr-13,1541.61,1555.89,1539.4,1555.25
22-Apr-13,1555.25,1565.55,1548.19,1562.5
23-Apr-13,1562.5,1579.58,1562.5,1578.78
24-Apr-13,1578.78,1583,1575.8,1578.79
25-Apr-13,1578.93,1592.64,1578.93,1585.16
26-Apr-13,1585.16,1585.78,1577.56,1582.24
29-Apr-13,1582.34,1596.65,1582.34,1593.61
30-Apr-13,1593.58,1597.57,1586.5,1597.57
01-May-13,1597.55,1597.55,1581.28,1582.7
02-May-13,1582.77,1598.6,1582.77,1597.59
03-May-13,1597.6,1618.46,1597.6,1614.42
06-May-13,1614.4,1619.77,1614.21,1617.5
07-May-13,1617.55,1626.03,1616.64,1625.96
08-May-13,1625.95,1632.78,1622.7,1632.69
09-May-13,1632.69,1635.01,1623.09,1626.67
10-May-13,1626.69,1633.7,1623.71,1633.7
13-May-13,1632.1,1636,1626.74,1633.77
14-May-13,1633.75,1651.1,1633.75,1650.34
15-May-13,1649.13,1661.49,1646.68,1658.78
16-May-13,1658.07,1660.51,1648.6,1650.47
17-May-13,1652.45,1667.47,1652.45,1667.47
20-May-13,1665.71,1672.84,1663.52,1666.29
21-May-13,1666.2,1674.93,1662.67,1669.16
22-May-13,1669.39,1687.18,1648.86,1655.35
23-May-13,1651.62,1655.5,1635.53,1650.51
24-May-13,1646.67,1649.78,1636.88,1649.6
28-May-13,1652.63,1674.21,1652.63,1660.06
29-May-13,1656.57,1656.57,1640.05,1648.36
30-May-13,1649.14,1661.91,1648.61,1654.41
31-May-13,1652.13,1658.99,1630.74,1630.74
